Model,CV_ROC_AUC,CV_PR_AUC,CV_Recall,CV_Precision,CV_F1,CV_Accuracy
Dummy (Naive Baseline),0.5,0.2653532460941748,0.0,0.0,0.0,0.7346467539058252
Logistic Regression (Baseline),0.8463282949348694,0.6644150408487568,0.7959866220735787,0.5177550596334053,0.6271798174003446,0.7490264002736009
Random Forest,0.8440644926842676,0.6558895175963465,0.7217391304347827,0.5681514556682123,0.6356713782865425,0.7806202039082681
HistGradientBoosting,0.8316338841474102,0.6354143734836863,0.49966555183946487,0.621545890434209,0.5538250158160987,0.7864778778914455
Support Vector Classifier (RBF),0.8294483462321984,0.6103467071370281,0.7765886287625419,0.515713712952915,0.6196350345534749,0.7472489405060039
